27.2158350,106.8559083,754.42
27.2158350,106.8559083,754.42
27.2158350,106.8559083,754.42
27.2158350,106.8559083,754.62
27.2158350,106.8559083,754.62
27.2158350,106.8559067,754.62
27.2158350,106.8559067,754.62
27.2158350,106.8559067,754.62
27.2158350,106.8559067,754.62
27.2158350,106.8559050,754.81
27.2158350,106.8559050,754.81
27.2158350,106.8559033,755.00
27.2158350,106.8559017,755.19
27.2158350,106.8559000,755.19
27.2158350,106.8558983,755.58
27.2158350,106.8558950,755.77
27.2158350,106.8558917,756.15
27.2158333,106.8558883,756.54
27.2158333,106.8558817,757.12
27.2158333,106.8558767,757.69
27.2158333,106.8558700,758.27
27.2158317,106.8558617,759.23
27.2158317,106.8558533,759.81
27.2158300,106.8558450,760.77
27.2158283,106.8558367,761.73
27.2158267,106.8558283,762.50
27.2158267,106.8558183,763.46
27.2158250,106.8558083,764.62
27.2158233,106.8557983,765.38
27.2158217,106.8557867,766.54
27.2158200,106.8557767,767.88
27.2158183,106.8557650,768.65
27.2158150,106.8557550,769.81
27.2158133,106.8557450,770.77
27.2158117,106.8557350,771.73
27.2158100,106.8557267,772.69
27.2158083,106.8557183,773.65
27.2158067,106.8557100,774.42
27.2158050,106.8557017,775.19
27.2158033,106.8556933,776.15
27.2158017,106.8556833,776.92
27.2157983,106.8556750,778.08
27.2157950,106.8556650,779.23
27.2157933,106.8556533,780.19
27.2157900,106.8556433,781.35
27.2157883,106.8556317,782.12
27.2157850,106.8556217,783.27
27.2157817,106.8556133,784.42
27.2157800,106.8556033,785.38
27.2157767,106.8555933,786.35
27.2157750,106.8555817,787.69
27.2157717,106.8555717,788.46
27.2157683,106.8555600,789.81
27.2157650,106.8555483,790.96
27.2157633,106.8555367,792.12
27.2157600,106.8555250,793.46
27.2157567,106.8555133,794.81
27.2157550,106.8555017,795.77
27.2157550,106.8554883,797.12
27.2157550,106.8554767,798.46
27.2157550,106.8554633,799.42
27.2157550,106.8554533,800.77
27.2157567,106.8554417,801.73
27.2157567,106.8554317,802.50
27.2157583,106.8554233,803.65
27.2157583,106.8554133,804.81
27.2157600,106.8554033,805.58
27.2157600,106.8553933,806.73
27.2157600,106.8553833,807.69
27.2157600,106.8553717,808.65
27.2157583,106.8553617,809.81
27.2157583,106.8553517,810.96
27.2157567,106.8553417,811.54
27.2157567,106.8553333,812.50
27.2157550,106.8553267,813.46
27.2157533,106.8553183,814.04
27.2157517,106.8553117,814.81
27.2157483,106.8553050,815.77
27.2157450,106.8552967,816.35
27.2157417,106.8552900,817.50
27.2157350,106.8552817,818.27
27.2157300,106.8552733,819.42
27.2157233,106.8552667,820.38
27.2157167,106.8552600,821.15
27.2157117,106.8552533,822.31
27.2157050,106.8552483,823.08
27.2157000,106.8552433,823.85
27.2156933,106.8552400,824.81
27.2156867,106.8552350,825.58
27.2156800,106.8552317,826.35
27.2156717,106.8552283,827.50
27.2156633,106.8552233,828.65
27.2156533,106.8552200,829.42
27.2156450,106.8552183,830.58
27.2156367,106.8552167,831.54
27.2156283,106.8552150,832.31
27.2156217,106.8552133,833.27
27.2156150,106.8552133,834.04
27.2156083,106.8552150,834.62
27.2156033,106.8552150,835.38
27.2155967,106.8552167,836.15
27.2155917,106.8552183,836.73
27.2155850,106.8552200,837.50
27.2155783,106.8552217,838.27
27.2155717,106.8552233,838.85
27.2155667,106.8552250,839.62
27.2155600,106.8552267,840.38
27.2155533,106.8552283,841.15
27.2155450,106.8552300,841.92
27.2155383,106.8552300,842.88
27.2155300,106.8552317,843.65
27.2155217,106.8552317,844.62
27.2155133,106.8552317,845.58
27.2155050,106.8552300,846.35
27.2154967,106.8552300,847.50
27.2154867,106.8552283,848.27
27.2154783,106.8552267,849.42
27.2154683,106.8552233,850.58
27.2154600,106.8552217,851.54
27.2154500,106.8552183,852.69
27.2154400,106.8552150,853.85
27.2154317,106.8552117,854.62
27.2154217,106.8552100,855.77
27.2154133,106.8552067,856.92
27.2154050,106.8552050,857.69
27.2153983,106.8552017,858.65
27.2153900,106.8552000,859.42
27.2153833,106.8551983,860.19
27.2153767,106.8551967,860.96
27.2153717,106.8551950,861.73
27.2153650,106.8551933,862.31
27.2153583,106.8551933,863.08
27.2153517,106.8551917,864.04
27.2153433,106.8551917,864.81
27.2153367,106.8551917,865.58
27.2153283,106.8551933,866.54
27.2153217,106.8551950,867.12
27.2153150,106.8551967,868.08
27.2153083,106.8551983,868.85
27.2153017,106.8552017,869.62
27.2152967,106.8552050,870.38
27.2152917,106.8552100,871.15
27.2152867,106.8552133,871.73
27.2152817,106.8552183,872.50
27.2152783,106.8552233,873.27
